gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,pct_FC
Ckap4,4.568654283544019e-75,-1.07944460583323,0.217,0.414,1.2132518315379497e-70,0.524154600865831
Vim,4.1909104851786885e-169,-1.07951552153649,0.317,0.644,1.1129381884440497e-164,0.492236032729254
Pygl,4.851406818420889e-106,-1.08454015066874,0.052000000000000005,0.312,1.2883395946998499e-101,0.166666693376068
Mki67,6.834456635918709e-65,-1.09622845765152,0.096,0.28600000000000003,1.8149583042345697e-60,0.33566435889285495
Lgals3,9.867417198271747e-117,-1.10585199819415,0.065,0.344,2.6203913111730493e-112,0.188953511949026
Anxa2,2.2083757021449195e-141,-1.12054112092846,0.094,0.413,5.864562514616048e-137,0.22760292427111603
Selplg,2.212821899577279e-192,-1.14480993632598,0.17600000000000002,0.5579999999999999,5.876369836517427e-188,0.315412198648527
Lrg1,9.906924487236766e-64,-1.16179566880596,0.079,0.263,2.6308828668305996e-59,0.300380254738393
Igha,0.9555349619414091,-1.1808510656978999,0.507,0.514,1.0,0.9863813232221529
Trbc2,1.2164408163441099e-45,-1.2127542840814198,0.11599999999999999,0.273,3.23038023188341e-41,0.42490844597405003
Itgam,1.0050733672064597e-108,-1.21547076824216,0.068,0.33299999999999996,2.6690728339534696e-104,0.20420422810197503
Fyb,1.7265607393588995e-157,-1.2210069021618402,0.14800000000000002,0.486,4.5850546994414775e-153,0.304526763281342
Fpr2,1.7600018971196898e-75,-1.2657901275502699,0.087,0.297,4.673861037991049e-71,0.292929316736387
Slpi,1.5608108581889998e-52,-1.28126241032185,0.23399999999999999,0.41100000000000003,4.144889315006709e-48,0.569343076171701
S100a11,4.066767734471839e-74,-1.30948332947108,0.624,0.7170000000000001,1.0799708395663398e-69,0.8702928888383141
Hp,4.15490476889467e-93,-1.3156623338617601,0.059000000000000004,0.293,1.1033765104276695e-88,0.20136521497047
Hmgb2,1.4955840502901696e-124,-1.3175193009179298,0.433,0.635,3.9716730039505684e-120,0.6818897687891372
Ighg2b,0.340807583038692,-1.32386446758942,0.904,0.877,1.0,1.03078677273903
Gda,7.563423248311919e-107,-1.34211772850065,0.045,0.302,2.0085426778217093e-102,0.14900665069514402
Ighg2c,0.0103772634125288,-1.41410036884434,0.9940000000000001,0.985,1.0,1.0091370557448
Ifitm3,9.889914091766588e-107,-1.4282536203757301,0.165,0.42700000000000005,2.6263655862095293e-102,0.38641687619632603
Cd177,2.8633060688146692e-61,-1.4852395259242999,0.084,0.265,7.60379559634425e-57,0.316981157849768
Tyrobp,6.546961420463978e-93,-1.50653160081899,0.27699999999999997,0.48200000000000004,1.7386110748184095e-88,0.5746888055043821
Pglyrp1,1.0160009689727298e-54,-1.51711326254419,0.32,0.479,2.6980921732039695e-50,0.668058462044709
Alox5ap,5.9471307881739194e-89,-1.56039116097085,0.26,0.47200000000000003,1.5793200521074698e-84,0.550847467143062
Ly6c2,3.378622905552389e-103,-1.6744342211868601,0.335,0.542,8.972270987984919e-99,0.618081187858281
S100a6,1.61147804601797e-86,-1.69271331290199,0.217,0.45,4.279441099005319e-82,0.482222233728395
Hba-a1,3.5743511365897703e-07,-1.7551398268672902,0.198,0.262,0.009492046878327791,0.7557252001631599
Hbb-bs,0.00658722900208263,-1.76209728471001,0.321,0.365,1.0,0.8794520580972042
Ifitm6,1.1003948262505999e-59,-1.770721580124,0.33399999999999996,0.506,2.9222085005910996e-55,0.6600790581012039
Anxa1,2.1426113199715596e-70,-1.7983374713222098,0.162,0.36200000000000004,5.689918621316469e-66,0.447513827416745
Wfdc21,1.4050271718090804e-49,-1.80203908773333,0.22899999999999998,0.397,3.7311901574561795e-45,0.576826207132841
